AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
85.37,206.23,108.47,31.27,104.13,104.29,230.4,153.29,153.63,2447.83
85.28,208.51,108.77,31.42,104.44,105.09,228.6,152.88,154.24,2459.27
85.22,209,108.84,31.5,104.21,104.79,229.26,153.89,153.01,2459.14
85.52,208.24,107.07,31.51,103.72,105.75,223.31,152.17,154,2460.61
85.93,210.88,107.85,31.9,104.46,106.82,222.87,153.3,147.53,2473.83
85.35,210.28,107.32,31.86,104.63,107.36,222.3,147.03,147.66,2473.45
85.59,212.14,106.59,31.84,103.25,107.09,220.18,146.65,147.08,2472.54
85,212.18,108.18,31.86,103.2,107,218.18,144.58,145.99,2469.91
85.41,212.46,114.54,32.12,104.39,106.42,221.58,146.97,146.19,2477.13
85.3,233.45,113.52,31.66,105.12,106.94,222.25,146.69,145.36,2477.83
83.85,241,114.37,31.57,106.11,110,221.48,147.73,145.07,2475.42
84.8,241.27,114.1,31.52,108.12,109.96,223.61,148.08,144.29,2472.1
85.23,242.46,113.95,31.45,109.19,109.93,225.33,149.6,144.67,2470.3
85.24,239.44,113.1,31.65,110.78,110.61,227,149.85,145.3,2476.35
85.3,237.95,113.09,31.52,110.46,108.67,226.27,150.5,144.45,2477.57
85.54,238.25,113.56,31.56,109.43,109.12,223.99,150.79,144.94,2472.16
85.97,237.71,114.35,31.8,110.11,107.69,229.79,152.75,145.16,2476.83
85.85,240.23,114.71,31.84,109.78,106.35,232.92,153.35,143.47,2480.91
85.94,239.5,114.41,31.67,110.35,106.98,232.05,153.35,142.11,2474.92
85.69,234.31,114.34,31.62,110.89,102.83,231.01,155.26,141.77,2474.02
84.56,232.88,113.15,31,110.11,101.35,225.5,153.88,141.84,2438.21
84.29,234.88,112.85,31.47,109.23,101.99,224.15,154.88,141.84,2441.32
85.47,237.15,113.71,31.84,108.71,101.4,227.36,154.26,142.32,2465.84
86.79,239.17,113.65,32.09,108.57,101.51,227.59,150.17,142.07,2464.61
87.39,237.59,114.12,32.34,106.84,102.2,225.61,152.25,142.5,2468.11
86.09,235.59,113.14,31.04,105.92,101.38,221.42,149.67,140.7,2430.01
85.38,235.77,113.92,30.37,106.48,100.7,222.15,147.49,139.7,2425.55
85.3,235.68,113.6,30.68,105.78,101.17,220.79,149.2,140.33,2428.37
85.3,239.75,115.82,31.27,106.36,102.77,223.58,149.91,141.01,2452.51
85.28,238.09,114.75,30.92,106.61,101.5,222.74,149.1,142.14,2444.04
85.36,238.74,114.78,31.24,107.44,101.52,222.99,148.25,142.94,2438.97
85.47,235.89,115.35,31.44,108.23,102.41,222.47,149.65,143.74,2443.05
85.41,237.18,115.07,31.54,107.76,102.56,220.35,151.39,142.51,2444.24
85.42,240.49,116.01,31.48,107.86,102.57,219.96,149.84,143.14,2446.3
85.69,240.46,117.55,31.99,107.73,102.87,222.42,150,142.56,2457.59
86.1,239.66,117.49,32.21,107.62,101.2,223.74,149.87,143.03,2471.65
86.14,240.33,118.28,32.3,108.76,101.5,225.88,150.78,144.08,2476.55
85.31,237,118.3,31.62,109.44,101.6,217.78,152.93,143.04,2457.85
85.23,234.62,116.98,31.87,111.79,101.5,218.83,156.56,143.82,2465.54
84.41,236.31,117.77,31.76,111.8,97.06,215.84,157.93,142.9,2465.1
84.25,238.78,117.82,31.48,110.78,97.07,217.21,159.66,142.45,2461.43
85.69,240.59,118.87,32.19,112.52,97.09,221.06,158.37,144.86,2488.11
86.55,240.58,120.94,32.41,112.49,97.89,225.95,159.91,145.76,2496.48
86.64,241.93,119.63,32.18,114.18,98.82,226.56,160.02,145.99,2498.37
86.19,245.23,120.48,32.19,114.45,97.9,226.85,159.38,145.54,2495.62
86.99,249,121.37,32.44,114.63,98.52,225.22,158.4,144.82,2500.23
87.87,253.08,123.83,32.52,115.19,98.1,227.53,157.81,144.55,2503.87
89,252.46,124.74,32.49,116.34,98.43,228.91,157.66,144.39,2506.65
88.43,255.46,124.85,32.6,116.37,99.21,229.79,158.68,145.88,2508.24
88.42,256.04,124.79,32.7,116.47,98.89,231.29,159.19,145.26,2500.6
88.4,256.45,124.43,33.37,117.29,98.6,231.03,159.97,145.13,2502.22
88.21,254.32,124.32,33.72,117.99,99.57,230.26,161.1,145.87,2496.66
88.69,253.7,124.51,33.76,117.52,98.63,229.94,161.26,146.56,2496.84
89.49,255.28,124.52,33.48,117.45,99.24,234.76,160.92,145.66,2507.04
90.14,254.27,125.23,33.35,117.62,98.05,235.47,162.36,145.66,2510.06
90.46,254.21,124.71,33.63,117.5,98.57,237.19,163.56,145.08,2519.36
90.54,255.99,124.72,33.75,117.43,99.86,240.65,164.02,146.66,2529.12
91.43,255.46,125.51,33.85,117.82,100.79,241.62,165.17,146.78,2534.58
91.01,255.76,126.74,33.44,117.58,100.55,240.31,165.29,146.48,2537.74
91.16,258.89,126.4,33.59,118.58,100.11,246.06,166.12,146.72,2552.07
91.55,258.58,126.93,33.75,117.03,100.07,246.02,165.85,146.48,2549.33
91.69,258.39,126.88,33.76,117.71,99.57,242.8,165.71,147.39,2544.73
91.89,260.93,128.19,33.55,118.8,99.58,242.6,165.16,148.5,2550.64
91.96,261.44,128.6,33.59,119.33,98.55,242.4,165.25,147.62,2555.24
91.61,261.91,129.99,33.26,119.14,96.93,239.8,164.59,147.03,2550.93
92.86,260.74,130.71,33.47,119.16,97.38,238.53,164.47,147.1,2553.17
91.96,259.75,131.47,33.54,120.13,98.13,242.41,164.22,146.83,2557.64
91.69,258.62,130.54,33.6,120.22,98.36,236.09,163.35,146.54,2559.36
92.08,260.04,131.29,33.55,118.15,98.25,242.03,163.45,159.53,2561.26
91.9,259.04,131.55,33.75,118.2,99.01,239.99,163.24,160.9,2562.1
92.09,264.75,131.36,34.25,118.64,99.4,244.73,163.43,162.07,2575.21
92.38,262.32,131.68,34.35,118.93,98.7,242.13,164.74,159.55,2564.98
93.86,266,138.24,34.58,119.23,98.29,244.84,166.03,155.88,2569.13
93.53,258.42,136.84,34.3,118.44,97.8,241.71,166.07,153.5,2557.15
95.69,259.27,136.94,34.27,118.44,98.56,241.72,167.65,153.6,2560.4
95.79,256.46,137.81,34.43,113.54,98.31,241.71,167.34,153.68,2581.07
95.07,259.25,136.49,34.04,114.39,98.04,240.89,165.31,154.36,2572.83
95.52,257.98,135.8,34.15,115.89,97.81,242.48,165.78,154.06,2575.26
95.79,258.5,136.29,34.62,115.9,99.03,244.26,165.38,154.03,2579.36
95.98,262.63,136.47,34.21,115.33,98.35,246.88,162.71,153.35,2579.85
96.43,261.75,136.63,34.47,114.99,98.64,244.4,164.39,151.58,2587.84
96.29,264.07,137.71,34.41,117.04,100.64,243.49,164.22,150.84,2591.13
95.37,266.13,138.81,34.4,117.24,101.61,239.81,163.66,151.35,2590.64
95.13,265.57,137.29,34.5,116.67,101.18,241.25,164.05,151.57,2594.38
93.75,262.7,135.34,34.05,117.24,102.68,240.79,163.27,150.3,2584.62
93.52,260.85,136.48,33.99,117.18,104.78,240.15,164.11,149.16,2582.3
93.9,262.42,136.53,33.95,117.23,104.74,240.27,165.35,148.4,2584.84
93.76,261.76,137.54,34.04,116.92,103.17,237.24,168.06,148.89,2578.87
93.26,262.86,134.1,34.11,116.45,103.69,237.61,165.47,147.1,2564.62
93.56,263.7,136.36,35.88,114.57,103.6,239.37,167.5,149.12,2585.64
93.69,262.26,136.13,35.9,114.71,103.44,238.02,167.74,148.97,2578.85
93.95,264.63,136.91,36.5,114.72,102.75,238.13,170.45,150.51,2582.14
94.41,266.99,137.6,36.65,115.17,103,238.02,172.86,151.95,2599.03
93.82,265.15,138.01,36.45,115.91,102.74,236.43,172.06,151.77,2597.08
93.48,265.88,137.39,36.49,116.51,102.64,235.95,172.33,151.84,2602.42
93.47,265.58,137.19,36.87,115.59,102.79,235.11,174.16,151.98,2601.42
95.28,267.99,138.99,37.73,116.45,103.41,239.41,176.57,152.47,2627.04
96.6,269.3,138.06,37.48,117.18,105.24,241.36,177.25,153.55,2626.07
97.71,276.8,141.15,37.3,118.99,104.82,247.64,179.82,153.97,2647.58
97.86,271.38,141.52,37.6,119.51,105.25,248.95,180.42,154.76,2642.22
98.59,277.97,141.5,37.72,120.84,110.22,250.65,184.9,156.46,2639.44
98.71,275.54,140.14,37.31,120.39,107.22,248.33,182.85,155.35,2629.57
98.21,278.27,140.34,37.41,119.61,105.46,245.95,180.8,154.1,2629.27
98.58,281.97,142.89,37.4,119.63,105.26,248.56,182,153.57,2636.98
98.55,285.9,143.86,37.61,119.92,104.23,250.35,183.41,154.81,2651.5
99,283.16,143.77,37.96,120.42,106.83,250.13,182.25,155.41,2659.99
99.37,289.94,143.42,37.91,119.68,107.43,257.68,181.8,156.74,2664.11
97.78,291.84,148.57,38.15,119.93,107.61,255.56,183.03,153.91,2662.85
97.15,293.88,146.28,37.9,119.53,110.57,255.48,182.13,154,2652.01
98.52,293.94,146.69,38.19,119.73,111.27,257.17,182.58,152.5,2675.81
99.68,296.14,149.77,38.48,119.7,111.03,260.02,184.73,153.33,2690.16
99.15,297.25,150.91,38.3,119.84,111.81,256.48,185.98,153.23,2681.47
98.51,297.9,152.52,38.74,120.89,109.69,255.18,187.31,152.95,2679.25
98.5,295.03,154.64,38.53,124.82,109.57,261.01,188.08,151.5,2684.57
